folder_path,desc_0,desc_1,desc_2,desc_3
/home/lee/PycharmProjects/stageCLIP/universal-image-restoration/datasets/universal/train/hazy_stage/1,"The image shows a traditional Chinese archway with intricate designs and a tiled roof, suggesting a historical or cultural site. The arch is decorated with colorful patterns and features Chinese characters written in gold and blue. Surrounding the arch are trees, a building with traditional architecture, and a person carrying a red and white container. The setting appears to be outdoors, with a slightly overcast sky.","The image depicts a traditional wooden gate structure, likely part of a historical or cultural site. The gate is ornately designed with intricate carvings and a sloped roof, characteristic of East Asian architecture. Surrounding the gate are buildings with tiled roofs, and there is some greenery visible, suggesting a garden or courtyard area. The overall scene appears to be in a well-preserved or maintained area, possibly a historical park or a traditional village.","The image depicts a large, ornate structure that appears to be a historical or religious building, possibly a cathedral or a temple. The structure has a prominent, large archway with intricate carvings and a spire at the top. The background is a cloudy sky, and the overall scene is in grayscale, giving it a vintage or old-fashioned appearance. The details of the building are not very clear due to the speckled and pixelated nature of the image.","The image appears to depict a scene with a large, dark structure in the center, possibly a building or a wall, and smaller, less distinct shapes in the foreground. The overall tone of the image is muted, with a mix of dark and light areas, suggesting a cloudy or overcast sky. The image lacks clear details, making it difficult to discern specific features or objects."
/home/lee/PycharmProjects/stageCLIP/universal-image-restoration/datasets/universal/train/hazy_stage/2,"The image depicts a busy urban scene with a large intersection in the foreground. There are numerous cars, including sedans, SUVs, and vans, waiting at a crosswalk. Pedestrians are crossing the street, and the area appears to be a commercial zone with several buildings in the background. The buildings vary in height and design, with some being tall skyscrapers and others being shorter, more traditional structures. There are also trees and greenery visible in the middle ground, providing a contrast to the urban environment. The sky is overcast, suggesting a cloudy day. The overall atmosphere is bustling and typical of a city setting.","The image depicts a cityscape with a parking lot in the foreground. Numerous cars are parked in the lot, and a few are moving across the crosswalks. In the background, there are several tall buildings, including a prominent skyscraper. The sky appears overcast, suggesting cloudy weather. Trees and greenery are visible near the buildings, adding a touch of nature to the urban environment. The overall scene gives an impression of a typical city area with moderate traffic.","The image depicts a cityscape with several buildings in the background, including a tall skyscraper and other structures. In the foreground, there is a street with a significant number of cars parked or moving. The area appears to be a busy urban environment, possibly a commercial or residential district. The sky is overcast, and the overall lighting suggests it might be a cloudy day. The image is quite grainy, with numerous small colored dots scattered throughout, which could be due to a specific effect or filter applied.","The image appears to depict a cityscape with buildings and structures in the background. The scene is somewhat obscured by a dense pattern of colorful dots, which may be due to a specific visual effect or noise. The buildings are faint and indistinct, suggesting a focus on the general urban environment rather than specific details. The overall tone of the image is muted, with a mix of colors that contribute to a somewhat abstract or artistic representation."
/home/lee/PycharmProjects/stageCLIP/universal-image-restoration/datasets/universal/train/hazy_stage/3,"The image depicts a cityscape with tall residential buildings, partially obscured by a dense layer of fog or smog. The buildings are modern, with numerous windows, and are surrounded by trees with green foliage. The fog creates a hazy atmosphere, making the details of the buildings less visible. The overall scene appears to be urban, with the focus on the high-rise structures amidst the natural elements.","The image depicts a cityscape with tall buildings, likely residential or commercial, surrounded by trees. The buildings appear to be partially obscured by a haze or fog, which gives the scene a muted and somewhat obscured appearance. The trees in the foreground are silhouetted against the buildings, adding to the overall atmospheric effect. The sky is visible through the haze, appearing light and clear. The image lacks any text or specific details, focusing solely on the urban environment and natural elements.","The image depicts a scene with a faint, blurred view of tall, vertical structures that appear to be buildings or skyscrapers. The structures are partially obscured by a dense, speckled overlay, which gives the image a pixelated and abstract appearance. The background is a mix of light and dark shades, with the speckled overlay creating a sense of depth and texture. The foreground includes the silhouettes of trees, adding a natural element to the otherwise urban scene. The overall effect is a surreal, dream-like atmosphere.","The image appears to depict a natural outdoor scene, possibly a forest or wooded area. The background is filled with a dense array of small, multicolored dots, which could be interpreted as leaves or foliage. There are faint outlines of trees or other natural elements visible through the dot-filled background. The overall tone of the image is muted, with the colors blending into each other, giving it a somewhat abstract and artistic appearance."
/home/lee/PycharmProjects/stageCLIP/universal-image-restoration/datasets/universal/train/hazy_stage/4,"The image depicts a cityscape with a mix of residential and commercial buildings. In the foreground, there is a wide road with multiple lanes, and a river runs parallel to it, separated by a small bridge. The area is surrounded by lush green trees, providing a pleasant contrast to the urban environment. The buildings in the background vary in height, with some skyscrapers standing prominently among shorter structures. The sky is clear and blue, indicating a sunny day. The overall atmosphere suggests a bustling urban area with a balance of nature and infrastructure.","The image depicts a cityscape with a mix of high-rise buildings and greenery. In the foreground, there is a multi-story building with a red and white facade, and a smaller structure with a sign in Chinese characters. The middle ground features a wide road with multiple lanes, a river running parallel to it, and a bridge crossing over the river. The background showcases a dense urban skyline with numerous high-rise buildings, some of which are skyscrapers. The sky is clear, indicating a sunny day. The overall scene suggests a bustling urban environment with a blend of residential and commercial areas.","The image depicts a cityscape with a mix of high-rise buildings and greenery. The buildings are modern and densely packed, with a variety of architectural styles. The sky is clear, and the overall scene appears to be well-lit, suggesting it was taken during the daytime. The image is filled with numerous small, colorful dots, which are likely due to the pixelation effect. The scene is urban, with roads and pathways visible in the foreground, indicating a well-developed area.","The image appears to depict a cityscape with a focus on a road or pathway that stretches into the distance. The background shows blurred outlines of buildings, possibly skyscrapers, and the overall scene is rendered in a highly pixelated and speckled style. The colors are not distinct, and the image lacks clear definition, suggesting a deliberate artistic or noise effect."
/home/lee/PycharmProjects/stageCLIP/universal-image-restoration/datasets/universal/train/hazy_stage/5,"The image shows a cityscape with several high-rise residential buildings. The buildings have a modern architectural style with numerous windows and balconies. The structures are predominantly beige and light-colored, with red-tiled roofs visible on some of the buildings. The area appears to be a residential neighborhood, with a tree-lined street in the foreground. The sky is overcast, giving the scene a hazy appearance, which suggests that it might be foggy or there is some air pollution. The buildings have red Chinese characters on top, which are likely the names or names of the buildings.","The image shows a cityscape with several high-rise buildings. The buildings appear to be residential or commercial structures, with multiple floors and numerous windows. The sky is overcast, and there is a noticeable amount of haze or fog, which partially obscures the view of the buildings. The overall atmosphere seems to be quite gloomy, likely due to the weather conditions.","The image shows a cityscape with tall buildings, likely residential or commercial structures, under a cloudy or foggy sky. The buildings appear to be densely packed, and the overall scene is somewhat obscured by a haze or mist, which gives it a muted and indistinct appearance. The colors are not very vibrant, suggesting either a low-resolution image or an overcast day. The focus is on the urban environment, with no clear details of individual objects or people visible.","The image appears to show a natural outdoor scene with a variety of colors and textures. There are trees or vegetation visible in the background, with some areas appearing more dense or shaded. The overall scene seems to be a mix of different natural elements, possibly a forest or park. The colors are vibrant, suggesting a well-lit environment, and the details of the vegetation are discernible."
/home/lee/PycharmProjects/stageCLIP/universal-image-restoration/datasets/universal/train/hazy_stage/6,"The image depicts a serene lakeside scene with a person sitting on a small platform or raft in the middle of the water. The person is wearing a blue jacket and appears to be engaged in a calm activity, possibly fishing or simply enjoying the view. The lake is surrounded by mountainous terrain, with the peaks partially obscured by clouds. The sky is overcast, with a mix of light and dark clouds, suggesting a calm but slightly cloudy day. The water reflects the light from the sun, creating a shimmering effect. In the foreground, there is lush vegetation, including tall grasses and reeds, adding to the natural and tranquil atmosphere of the scene.","The image depicts a serene natural landscape with a large body of water, likely a lake or a river, in the foreground. There is a person standing near the water's edge, appearing small due to the distance. The background features a mountain range with a cloudy sky above, creating a peaceful and somewhat mysterious atmosphere. The overall tone of the image is muted, with subdued lighting that suggests either early morning or late afternoon.","The image depicts a serene landscape with a body of water in the foreground, likely a lake or river, surrounded by mountains. The water appears calm, reflecting the sky and the surrounding terrain. The mountains in the background are silhouetted against a cloudy sky, suggesting a peaceful and natural setting. The overall tone of the image is muted, with a focus on the natural scenery.","The image appears to depict a landscape with a mountainous terrain. The mountains are covered in a dense layer of vegetation, and the overall scene is somewhat obscured by a multitude of small, colorful dots scattered throughout. The colors are varied, including shades of green, blue, and red, which may suggest the presence of different types of plants or possibly a digital overlay. The image lacks clear details, making it difficult to discern specific features or objects."
/home/lee/PycharmProjects/stageCLIP/universal-image-restoration/datasets/universal/train/hazy_stage/7,"The image depicts an urban environment with a modern architectural style. On the right side, there is a curved building with a beige facade and large windows, which appears to be part of a commercial or residential complex. The building has a clean and structured design, with a visible staircase leading up to it.

In the middle ground, there is a spacious plaza with a tiled floor, featuring a curved pathway that leads to a raised area. The pathway is bordered by low hedges and a circular planter with neatly trimmed bushes. The area is surrounded by trees with yellow leaves, suggesting it might be autumn.

In the background, there are several multi-story residential buildings with balconies, typical of urban living spaces. The sky is overcast, giving the scene a slightly muted and grayish tone. The overall atmosphere is calm and orderly, with no visible people or vehicles, suggesting a quiet moment in the city.","The image depicts an urban environment with buildings on both sides of a paved area. The left side features a set of stairs leading up to a higher level, with trees and a few structures visible in the background. The right side shows a tall building with multiple windows, and there are a few people visible in the distance. The sky above is overcast, and the overall lighting suggests it might be a cloudy day. The scene appears to be a quiet, possibly residential or institutional area.","The image depicts an urban environment with a view of a street flanked by buildings. On the left side, there are steps leading up to a structure, possibly a building or a staircase. The right side features a tall, narrow building, and in the background, there are more buildings and some greenery, likely trees or bushes. The sky appears overcast, contributing to a subdued lighting in the scene. The overall atmosphere is somewhat muted due to the diffuse lighting and lack of vibrant colors.","The image appears to depict a street scene with buildings on either side. The buildings are partially visible, and there is a clear view of the road in the foreground. The sky is visible, and it seems to be overcast or cloudy. The overall scene is quite dark, suggesting it might be taken during a time of low light or nighttime."
/home/lee/PycharmProjects/stageCLIP/universal-image-restoration/datasets/universal/train/hazy_stage/8,"The image depicts a cityscape with several multi-story residential buildings. The buildings are primarily constructed with concrete and have a mix of colors, including brown, yellow, and white. The central focus is a tall yellow building with a distinctive design, featuring a series of narrow vertical windows. Surrounding it are other buildings of varying heights, with some having balconies and others with flat facades. The foreground shows a smaller yellow building with a sign that reads ""7"" and some additional text in a non-English language. The scene appears to be overcast, with a gray sky and no visible sunlight. There are also some trees and a few parked vehicles in the lower part of the image.","The image depicts a cityscape with several tall buildings, primarily residential or commercial structures, surrounded by a somewhat overcast sky. The buildings vary in color and design, with one prominent yellow building standing out in the center. The surrounding structures are mostly brown and gray, with some having multiple windows. The area appears to be urban, with a focus on the mid-to-high-rise buildings. The overall atmosphere is somewhat muted, likely due to the overcast weather.","The image depicts a cityscape with several tall buildings, likely skyscrapers, in the background. The buildings are of varying heights and designs, with some featuring modern architectural elements. The foreground appears to be a street or open area, but the image is heavily speckled, making it difficult to discern specific details. The overall scene suggests an urban environment, possibly during a cloudy or overcast day.","The image appears to depict a blurred and pixelated scene, possibly of a cityscape or urban environment. The details are obscured due to the heavy pixelation, but it seems to show buildings or structures in the background. The overall color scheme is muted, with shades of gray and hints of green and blue, suggesting an overcast or foggy atmosphere. The image lacks clear definition, making it difficult to discern specific details or objects."
/home/lee/PycharmProjects/stageCLIP/universal-image-restoration/datasets/universal/train/hazy_stage/9,"The image shows a close-up view of an airplane's engine and wing, situated on an airport tarmac. The engine is a large, powerful jet, with visible blades and a robust structure. The wing of the airplane is prominently displayed, extending outward and slightly angled. The aircraft is parked, and the surrounding area includes a tarmac with a few airport vehicles and equipment in the background. The sky above is overcast, with clouds covering most of the visible sky. There are also some airport structures and cones placed on the tarmac.","The image shows a large airplane wing extending horizontally, with a prominent engine visible on the left side. The background features a cloudy sky, and the ground appears to be an airport tarmac. There is a bright orange traffic cone placed near the wing, and some structures and vehicles are visible in the distance, likely part of the airport infrastructure. The overall scene suggests an outdoor setting at an airport.","The image shows an airplane wing extending into the frame, with a large engine visible on the left side. The background appears to be an overcast sky, and the ground is a flat, possibly tarmac area. There is a small orange cone visible near the bottom left corner of the image. The overall scene suggests an airport or an airfield setting.","The image appears to show a scene with a person standing in the foreground, partially obscured by a large, colorful speckled area. The background features a structure that looks like a building or a wall, with a horizontal line running across it. The overall scene is quite abstract due to the speckled effect, which makes it difficult to discern specific details."
/home/lee/PycharmProjects/stageCLIP/universal-image-restoration/datasets/universal/train/hazy_stage/10,"The image depicts a cityscape with a river running through the middle, flanked by tall buildings on both sides. The river is bordered by a well-maintained park with trees and walkways. On the left side, there are several mid-rise buildings, including a distinctive structure with a dome-like roof. The right side features high-rise residential or commercial buildings. The sky is clear, and the overall atmosphere suggests a bright, sunny day. The image captures a blend of urban development and green spaces, providing a view of a bustling city with a river as a central feature.","The image depicts a cityscape with numerous high-rise buildings, including residential and commercial structures. In the foreground, there is a long, narrow waterway running through the area, bordered by greenery and pathways. The buildings are densely packed, with some appearing to be modern skyscrapers. The sky is clear, and the overall atmosphere suggests a bright, sunny day. The image captures a typical urban environment with a mix of natural and man-made elements.","The image depicts a cityscape with numerous tall buildings, likely skyscrapers, forming a dense urban environment. The buildings are mostly rectangular and appear to be part of a metropolitan area. The foreground shows a mix of open spaces and structures, possibly indicating a park or a construction area. The overall scene is somewhat hazy, suggesting either foggy weather or atmospheric conditions affecting visibility. The image lacks any visible text or distinct features, making it difficult to identify specific details.","The image appears to depict a scene with a variety of structures, possibly buildings or architectural elements, set against a background that is heavily speckled with colorful dots. The overall quality is low, suggesting that the image may be a result of noise or a low-resolution capture. The scene seems to be outdoors, with the structures appearing to be part of a cityscape or urban environment. The colors are not distinct, and the details are obscured by the speckled effect."
